EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,,,,
SKU,Detailed Description,List Price,List Price/Month,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),Cloud Marketplace,End of Sale,End of Life,EOS Replacement SKU,Support Available
GVS-TACX1-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA100 CXP (GVS-TACX1-HW). Includes Bundled Elite-Plus Software Support.  (EOS May 31, 2021)",  ," $4,955.00 ",,Taps and Aggregators,GigaVUE-TA100,United States,,5/31/2021,5/31/2026,,TRUE
GVS-TACX2-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA100 CXP (GVS-TACX2-HW). Includes Bundled Elite-Plus Software Support.  (EOS May 31, 2021)",  ," $4,955.00 ",,Taps and Aggregators,GigaVUE-TA100,United States,,5/31/2021,5/31/2026,,TRUE
GVS-TAQ01-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA40 (GVS-TAQ01-HW). Includes Bundled Elite-Plus Software Support.  (EOS Jul 30, 2021)",  ," $1,205.00 ",,Taps and Aggregators,GigaVUE-TA40,United States,,7/30/2021,7/30/2026,GVS-TAC21-SW-TM,TRUE
GVS-TAQ02-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA40 (GVS-TAQ02-HW). Includes Bundled Elite-Plus Software Support.  (EOS Jul 30, 2021)",  ," $1,205.00 ",,Taps and Aggregators,GigaVUE-TA40,United States,,7/30/2021,7/30/2026,GVS-TAC22-SW-TM,TRUE
GVS-TAX01-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA10 (GVS-TAX01-HW). Includes Bundled Elite-Plus Software Support.  (EOS Jul 30, 2021)",  ," $1,015.00 ",,Taps and Aggregators,GigaVUE-TA10,United States,,7/30/2021,7/30/2026,GVS-TAX21-SW-TM,TRUE
GVS-TAX01A-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA10 (GVS-TAX01A-HW). Includes Bundled Elite-Plus Software Support.  (EOS Jul 30, 2021)",  , $545.00 ,,Taps and Aggregators,GigaVUE-TA10,United States,,7/30/2021,7/30/2026,GVS-TAX21A-SW-TM,TRUE
GVS-TAX02-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA10 (GVS-TAX02-HW). Includes Bundled Elite-Plus Software Support.  (EOS Jul 30, 2021)",  ," $1,015.00 ",,Taps and Aggregators,GigaVUE-TA10,United States,,7/30/2021,7/30/2026,GVS-TAX22-SW-TM,TRUE
GVS-TAX02A-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA10 (GVS-TAX02A-HW). Includes Bundled Elite-Plus Software Support.  (EOS Jul 30, 2021)",  , $545.00 ,,Taps and Aggregators,GigaVUE-TA10,United States,,7/30/2021,7/30/2026,GVS-TAX22A-SW-TM,TRUE
GVS-TAX20-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA25; all ports enabled (GVS-TAX[21/22]-HW). Includes Bundled Elite-Plus Software Support. (EOS Jul 7, 2025)",  ," $1,205.00 ",,Taps and Aggregators,GigaVUE-TA25,United States,,7/7/2025,12/7/2030,GVS-TAX20E-SW-TM,TRUE
GVS-TAX20A-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA25; 24 1/10/25G ports + 4 40/100G ports enabled (GVS-TAX[21A/22A]-HW). Includes Bundled Elite-Plus Software Support. (EOS Jul 7, 2025)",  , $685.00 ,,Taps and Aggregators,GigaVUE-TA25,United States,,7/7/2025,12/7/2030,GVS-TAX20EA-SW-TM,TRUE
